week_start,scrape_date,retailer_id,product_id,matched_product_name,regular_retail,special_retail,on_sale,currency,product_url,url_status,seller,availability,confidence,notes
2026-05-25,2026-05-29,walmart,sku_001,,,,false,CAD,https://www.walmart.ca/search?q=Tim%20Hortons%20Chicken%20Noodle%20Soup%20540%20mL,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_002,,,,false,CAD,https://www.walmart.ca/search?q=Tim%20Hortons%20Italian%20Wedding%20Soup%20540%20mL,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_003,,,,false,CAD,https://www.walmart.ca/search?q=Tim%20Hortons%20Tomato%20Condensed%20Soup%20284%20mL,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_004,,,,false,CAD,https://www.walmart.ca/search?q=Tim%20Hortons%20Chili%20425%20g,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_005,,,,false,CAD,https://www.walmart.ca/search?q=Campbell%27s%20Campbell%27s%20Chunky%20Chicken%20Noodle%20515%20mL,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_006,,,,false,CAD,https://www.walmart.ca/search?q=Campbell%27s%20Campbell%27s%20Ready%20to%20Serve%20Herbed%20Chicken%20515%20mL,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_007,,,,false,CAD,https://www.walmart.ca/search?q=Campbell%27s%20Campbell%27s%20Condensed%20Homestyle%20Tomato%20Soup%20284%20mL,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_008,,,,false,CAD,https://www.walmart.ca/search?q=Stagg%20Stagg%20Chili%20Classique%20Canned%20Chilli%20with%20Beans%20425%20g,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_009,,,,false,CAD,https://www.walmart.ca/search?q=Campbell%27s%20Campbells%20Condensed%20Cream%20of%20Chicken%20284%20mL,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
2026-05-25,2026-05-29,walmart,sku_010,,,,false,CAD,https://www.walmart.ca/search?q=Habitant%20HABITANT%20FRENCH%20CANADIAN%20PEA%20796%20ML%20796%20mL,blocked,,unclear,low,Walmart began returning bot-block pages during automated scraping; needs browser/manual retry with Walmart session access.
